epoch;cumulative_distance;cumulative_waiting_time
328;1013580.6279088329;107364.0
329;1019556.1286209743;107734.0
330;1024801.0648480448;108111.0
331;1029276.5837125179;108555.0
332;1035851.023745356;109086.0
333;1041249.9251478874;109563.0
334;1047680.9645326447;110121.0
335;1053666.6227232243;110654.0
336;1058966.7114460403;111148.0
337;1064389.9572496503;111663.0
338;1070540.3217448068;112260.0
339;1075486.4768430719;112827.0
340;1080521.642861043;113418.0
341;1085365.3714259765;113971.0
342;1089835.313182237;114575.0
343;1095663.4107751288;115232.0
344;1099301.358957908;115786.0
345;1104957.0026054303;116450.0
346;1110505.6479075863;117115.0
347;1115953.032335323;117789.0
348;1118923.5575444347;118300.0
349;1124170.054835365;119000.0
350;1129285.5418224493;119717.0
351;1133400.0990983078;120410.0
352;1138338.5225813412;121135.0
353;1143195.7318586116;121865.0
354;1147998.4334054808;122592.0
355;1151909.8668483205;123296.0
356;1156518.7302556382;124023.0
357;1160916.5669552225;124761.0
358;1165079.5733576948;125522.0
359;1168989.2997286678;126317.0
360;1172626.5470244822;127148.0
361;1176518.9809098963;127769.0
362;1179538.4380492559;128176.0
363;1184474.343124973;128635.0
364;1187043.3787472728;128950.0
365;1193221.4594503706;129388.0
366;1195359.649729523;129671.0
367;1201701.6499931244;130082.0
368;1208515.4121367363;130569.0
369;1215382.616935978;131069.0
370;1222234.4208260828;131581.0
371;1226485.868872101;131961.0
372;1232235.4218748568;132422.0
373;1237777.2932861934;132827.0
374;1240774.641372588;133283.0
375;1246596.7868881088;133846.0
376;1252763.7812653822;134478.0
377;1257833.793377069;134980.0
378;1261613.770352946;135578.0
379;1267602.1441899776;136263.0
380;1271585.4423194644;136858.0
381;1277464.6897130888;137557.0
382;1282754.8025466616;138207.0
383;1288479.2864786023;138924.0
384;1293308.8961206188;139546.0
385;1298857.7460686704;140302.0
386;1303802.788047039;141055.0
387;1308839.38910562;141807.0
388;1312625.0643000647;142496.0
389;1316544.324863803;143183.0
390;1318578.4141092405;143742.0
391;1322665.7084251838;144529.0
392;1327615.8240639863;145361.0
393;1330945.7652536405;146144.0
394;1335110.8807659007;146968.0
395;1339805.2082622491;147822.0
396;1341916.712407736;148611.0
397;1346382.2619986925;149474.0
398;1350745.256385249;150342.0
399;1354373.7417647657;151198.0
400;1356670.6464338177;151898.0
401;1360473.652839003;152769.0
402;1362955.3759174827;153595.0
403;1366127.96677329;154509.0
404;1369068.9238328787;155455.0
405;1370936.3328581727;156290.0
406;1373867.4674229524;157126.0
407;1376266.123767607;157732.0
408;1380149.1013877355;158434.0
409;1384729.4179616014;159094.0
410;1390023.1831491685;159710.0
411;1394595.9775184589;160182.0
412;1400944.8486480298;160751.0
413;1406113.0705712126;161185.0
414;1412834.6480253362;161672.0
415;1418744.78102315;162170.0
416;1426017.0150572492;162691.0
417;1431635.422997172;163087.0
418;1437287.5841970167;163619.0
419;1444116.308070578;164164.0
420;1451465.8286147239;164720.0
421;1453438.2525170415;164978.0
422;1458462.68672541;165280.0
423;1459048.8723132177;165407.0
424;1466168.5258209046;166003.0
425;1467474.9259466059;166273.0
426;1473725.8522156037;166810.0
427;1479266.9121021223;167334.0
428;1483790.92900953;167730.0
429;1482975.1041053617;167857.0
430;1488715.8551887837;168413.0
431;1494367.5093755766;168984.0
432;1495612.976522972;169223.0
433;1496390.3995492207;169525.0
